Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
219,FeatMorgan,"[64,32,16]",0.957815443,0.952173385,0.94311811,0.947457074,0.976902887,0.972692909,0.980566929,887,5
320,Morgan,"[512,256,128]",0.957815443,0.946305754,0.950393701,0.948255318,0.967454068,0.974589618,0.982131234,890,2
325,Morgan,"[128,16]",0.957815443,0.95325271,0.941905512,0.947299644,0.97847769,0.974815989,0.982596675,890,2
329,Morgan,"[64,32]",0.957815443,0.956126779,0.939076115,0.946957559,0.982152231,0.973571155,0.980850394,890,2
334,Morgan,"[32,16,8]",0.957815443,0.953292287,0.941905512,0.94731083,0.97847769,0.968958396,0.979765529,892,0
336,Morgan,"[16,8]",0.957815443,0.955114212,0.939884514,0.947058993,0.981102362,0.971638858,0.98104287,885,7
347,Pharm2D-Gobbi,"[512,64]",0.957815443,0.95156817,0.945678913,0.947658656,0.973724271,0.9717456,0.980106487,887,5
389,Pharm2D-Pmapper,"[32,8]",0.957815443,0.952426807,0.943656805,0.947584197,0.976337892,0.970110852,0.978752595,887,5
423,Pattern,"[256,32]",0.957815443,0.949610371,0.946892202,0.948038756,0.97215085,0.971975458,0.98237266,892,0
437,Pattern,"[128,16]",0.957815443,0.950058606,0.946053169,0.947816872,0.97319243,0.971760562,0.982347406,884,8
533,Torsion,"[256,128]",0.957815443,0.947782156,0.948776903,0.948078135,0.969553806,0.96995105,0.979205599,887,5
332,Morgan,"[32,16]",0.957438795,0.95461928,0.939622047,0.9466053,0.980577428,0.97236457,0.981424322,892,0
343,Pharm2D-Gobbi,"[256,64,32]",0.957438795,0.951410559,0.945045914,0.947482861,0.973729797,0.973491311,0.980425186,887,5
356,Pharm2D-Gobbi,"[128,32,16]",0.957438795,0.950287251,0.945831818,0.947285976,0.972670258,0.971988839,0.979241092,878,14
360,Pharm2D-Gobbi,"[32,16]",0.957438795,0.951348241,0.944225231,0.947254145,0.974772759,0.972948221,0.980455437,864,28
365,Pharm2D-Pmapper,"[256,128]",0.957438795,0.952840852,0.942603328,0.947056289,0.976871115,0.970146636,0.978363565,888,4
374,Pharm2D-Pmapper,"[512,128]",0.957438795,0.948971872,0.94743468,0.947658194,0.970569139,0.968870005,0.97822016,890,2
382,Pharm2D-Pmapper,"[128,64,32]",0.957438795,0.953478254,0.941793547,0.946955001,0.977918221,0.968574273,0.977800006,888,4
392,Pharm2D-Pmapper,"[16,8]",0.957438795,0.951213192,0.944196249,0.947277489,0.974758945,0.969476591,0.978656375,887,5
539,Torsion,"[256,64,32]",0.957438795,0.945387962,0.950939633,0.947910282,0.965879265,0.968704064,0.979058618,883,9
234,Layered,"[512,128]",0.957062147,0.946845948,0.94744357,0.947093938,0.969553806,0.970509396,0.981882765,891,1
216,FeatMorgan,"[128,32,16]",0.957062147,0.949188778,0.944614173,0.946716502,0.973228346,0.972067062,0.979335083,887,5
238,Layered,"[512,128,64]",0.957062147,0.947981359,0.946635171,0.947050607,0.970603675,0.966833955,0.97911811,890,2
324,Morgan,"[128,32]",0.957062147,0.952756807,0.940572178,0.946331405,0.97847769,0.971677926,0.981606299,887,5
361,Pharm2D-Gobbi,"[32,8]",0.957062147,0.948633604,0.946376788,0.94707889,0.971102362,0.973193124,0.981284837,888,4
380,Pharm2D-Pmapper,"[128,32]",0.957062147,0.950312183,0.945132174,0.946869928,0.972666114,0.971362033,0.979267459,885,7
391,Pharm2D-Pmapper,"[32,4]",0.957062147,0.949150642,0.946355255,0.947132066,0.971085785,0.959700856,0.971435591,889,3
428,Pattern,"[256,64,16]",0.957062147,0.953433051,0.940343049,0.946442087,0.978981904,0.970046537,0.981668049,889,3
439,Pattern,"[128,64,16]",0.957062147,0.94970704,0.94434627,0.946863625,0.973725653,0.973877259,0.983799542,891,1
442,Pattern,"[64,16]",0.957062147,0.951759267,0.941946873,0.946451741,0.976873878,0.972262646,0.98280634,887,5
209,FeatMorgan,"[512,256,64]",0.956685499,0.947300228,0.945968504,0.946495173,0.970603675,0.970693323,0.979860017,883,9
222,FeatMorgan,"[32,16,8]",0.956685499,0.949778107,0.943139108,0.94608044,0.974278215,0.970333348,0.97872266,891,1
232,Layered,"[256,64,16]",0.956685499,0.947203919,0.945968504,0.946473482,0.970603675,0.967193245,0.981426072,892,0
318,Morgan,"[512,128]",0.956685499,0.947525389,0.945564304,0.946461897,0.971128609,0.975048956,0.982579178,889,3
328,Morgan,"[128,32,16]",0.956685499,0.951198786,0.94111811,0.945963157,0.976902887,0.96924455,0.978925634,889,3
425,Pattern,"[256,128,64]",0.956685499,0.947308887,0.946506237,0.946777232,0.970045586,0.971844206,0.982497193,889,3
438,Pattern,"[128,64,32]",0.956685499,0.947747986,0.94569108,0.946624283,0.971099599,0.973254826,0.983084116,887,5
447,Pattern,"[32,4]",0.956685499,0.949463425,0.943696573,0.946418258,0.973724271,0.960516649,0.974757903,891,1
335,Morgan,"[32,4]",0.956308851,0.951417867,0.940047244,0.94542095,0.977427822,0.964177321,0.976491689,887,5
354,Pharm2D-Gobbi,"[128,64,32]",0.956308851,0.949803249,0.94265454,0.945853881,0.974245061,0.970659718,0.979483846,887,5
372,Pharm2D-Pmapper,"[256,64,16]",0.956308851,0.951308185,0.940992901,0.945543817,0.976343418,0.966576515,0.976687089,883,9
378,Pharm2D-Pmapper,"[512,128,64]",0.956308851,0.948490481,0.944228149,0.945924894,0.972138417,0.966354381,0.976561597,890,2
422,Pattern,"[256,64]",0.956308851,0.9495964,0.942616186,0.945776288,0.974247824,0.970186157,0.98126473,890,2
440,Pattern,"[128,32,16]",0.956308851,0.948051686,0.945046488,0.946216161,0.971099599,0.969169276,0.981027819,887,5
534,Torsion,"[256,64]",0.956308851,0.947377368,0.945301837,0.945945138,0.970603675,0.969728798,0.978768154,886,6
542,Torsion,"[512,128]",0.956308851,0.945821909,0.946918635,0.946165764,0.968503937,0.969428852,0.978988626,887,5
204,FeatMorgan,"[256,64,16]",0.955932203,0.948539178,0.942614173,0.945256365,0.973228346,0.968684191,0.977623797,884,8
321,Morgan,"[512,256,64]",0.955932203,0.948292101,0.942614173,0.945318809,0.973228346,0.972864928,0.980762905,890,2
322,Morgan,"[512,128,64]",0.955932203,0.946336268,0.94503937,0.9456148,0.97007874,0.973101909,0.981182852,890,2
368,Pharm2D-Pmapper,"[256,16]",0.955932203,0.949003146,0.942744253,0.945352749,0.973188286,0.967630071,0.977875692,886,6
457,RDKit,"[512,256]",0.955932203,0.94614324,0.94544357,0.945609466,0.969553806,0.970871128,0.981427822,888,4
551,Torsion,"[128,64,16]",0.955932203,0.948181023,0.943422572,0.945332866,0.972178478,0.964726108,0.977172353,889,3
316,Morgan,"[256,64,16]",0.955555556,0.949763638,0.940330709,0.94456971,0.975328084,0.973452466,0.98128084,890,2
540,Torsion,"[256,64,16]",0.955555556,0.946763806,0.943968504,0.944956207,0.970603675,0.968484099,0.977634296,886,6
544,Torsion,"[512,256,128]",0.955555556,0.94396653,0.948010499,0.945535288,0.965354331,0.969816855,0.979975503,888,4
2,Avalon,"[256,64]",0.955178908,0.945884516,0.943706037,0.944576181,0.97007874,0.967950655,0.979331584,891,1
113,ErG,"[256,128]",0.955178908,0.949690008,0.93944098,0.944189845,0.975826772,0.967245956,0.975272281,891,1
128,ErG,"[128,32]",0.955178908,0.953385608,0.935402709,0.943601206,0.981074734,0.967023458,0.975291097,876,16
203,FeatMorgan,"[256,64,32]",0.955178908,0.947555679,0.94128084,0.944237813,0.973228346,0.969764249,0.978862642,885,7
225,Layered,"[256,128]",0.955178908,0.945836714,0.943706037,0.944586663,0.97007874,0.970236527,0.982012248,891,1
