,Unnamed: 0,fcfp_binary,fcfp_prob,ecfp_binary,ecfp_prob,p2gob_binary,p2gob_prob,secfp_binary,secfp_prob,feat_binary,feat_prob,p2map_binary,p2map_prob,mor_binary,mor_prob,pat_binary,pat_prob,tor_binary,tor_prob,lay_binary,lay_prob,sum_binary,sum_prob,SMILES,ID
72,72,0.0,0.04315596,0.0,0.028536864,0.0,0.0017075427,0.0,0.035462826,0.0,0.027378282,0.0,0.01652045,0.0,0.03120035,0.0,0.020940004,0.0,0.0035417576,0.0,0.0008729121,0.0,0.20931694,C1=CC=C(C=C1)CN2C=NC3=C(N=C(N=C32)N)N,43534
73,73,0.0,0.013461553,0.0,0.018123614,0.0,7.3964344e-05,0.0,0.024945948,0.0,0.02811036,0.0,0.00070508587,0.0,0.051617634,0.0,0.0038458654,0.0,0.0041271327,0.0,0.00021945586,0.0,0.1452306,Nc1nc(SCc2ccccc2F)c3[nH]cnc3n1,45147
74,74,0.0,0.0259953,0.0,0.21549065,0.0,0.014811714,0.0,0.019209564,0.0,0.017851131,0.0,0.3143846,0.0,0.0034228028,0.0,0.025935736,0.0,0.00361979,0.0,0.028244685,0.0,0.668966,CN(C1=C(O)c2ccccc2NC1=O)c3ccc(cc3)C(=O)N,45197
75,75,0.0,0.0026910405,0.0,0.0007291894,0.0,0.0008617784,0.0,0.0052274126,0.0,0.025052635,0.0,0.00087076426,0.0,0.0015707706,0.0,0.0066398703,0.0,0.00031555022,0.0,0.0016211341,0.0,0.045580152,OC1=C(\N=N\c2ccc(cc2)S(=O)(=O)O)C(=O)Nc3ccccc13,45529
76,76,0.0,0.007477973,0.0,0.013047608,0.0,0.0027586,0.0,0.011600027,0.0,0.048684224,0.0,0.01074618,0.0,0.0049782684,0.0,0.01714972,0.0,0.0015257814,0.0,0.005990852,0.0,0.12395924,NC(=O)c1ccc(cc1)\N=N\C2=C(O)c3ccccc3NC2=O,45545
77,77,0.0,0.043771148,0.0,0.0046206736,0.0,5.3580825e-05,0.0,0.038412232,0.0,0.014646894,0.0,0.16502678,0.0,0.11610994,0.0,0.11805469,0.0,0.021338932,0.0,0.004003023,0.0,0.52603793,C1CN(CCO1)c2nc(N3CCOCC3)c4[nH]c(nc4n2)N5CCOCC5,45825
78,78,0.0,0.0031530017,0.0,0.002805981,0.0,2.7520284e-05,0.0,0.013776317,0.0,0.021209136,0.0,0.01964385,0.0,0.020342646,0.0,0.03997926,0.0,0.0027747175,0.0,0.004713575,0.0,0.12842602,C(Nc1nc(nc2nc[nH]c12)N3CCOCC3)c4occc4,45924
79,79,0.0,0.010183581,0.0,0.011246086,0.0,0.0003816856,0.0,0.02987908,0.0,0.03671963,0.0,0.0011642937,0.0,0.017465448,0.0,0.001459915,0.0,0.005776334,0.0,1.532971e-08,0.0,0.11427607,O=S(Nc1sc(CC)nn1)(c2ccc(N)cc2)=O,46052
80,80,0.0,0.0049064057,0.0,0.003924478,0.0,0.00040764117,0.0,0.02894669,0.0,0.14539337,0.0,0.0003407748,0.0,0.019538824,0.0,0.0066609075,0.0,0.013733767,0.0,0.0001503191,0.0,0.22400317,Nc1nc(SCc2ccccn2)c3[nH]cnc3n1,46381
81,81,0.0,0.03398851,0.0,0.034681283,0.0,0.014645993,0.0,0.023589287,0.0,0.022377571,0.0,0.054843068,0.0,0.024488203,0.0,0.018130615,0.0,0.06095928,0.0,0.0025174944,0.0,0.2902213,COc1ccc(cc1)n2cnc3c(N)nc(N)nc23,46387
82,82,0.0,0.01057834,0.0,0.00571134,0.0,0.013919345,0.0,0.08365784,0.0,0.029447243,0.0,0.031429693,0.0,0.015135769,0.0,0.006088665,0.0,0.005653693,0.0,0.00031824308,0.0,0.20194016,OC1=CC=C(C(C2=CC=CC=C2)=O)C3=C1N=CC=C3,48892
83,83,0.0,0.016984496,0.0,0.013672496,0.0,0.0063695502,0.0,0.008537009,0.0,0.0077013182,0.0,0.0042503383,0.0,0.010045779,0.0,0.004079697,0.0,0.005546791,0.0,0.00010464403,0.0,0.07729213,Clc1cccc(CSc2ncnc3nc[nH]c23)c1,50709
84,84,0.0,0.010348174,0.0,0.009881837,0.0,4.1329986e-05,0.0,0.03540984,0.0,0.09777425,0.0,0.00089176925,0.0,0.06261516,0.0,0.005589005,0.0,0.015115821,0.0,0.0002232624,0.0,0.23789047,Nc1nc(SCc2cccnc2)c3[nH]cnc3n1,51021
85,85,0.0,0.005580478,0.0,0.0035733264,0.0,0.0033136425,0.0,0.016324662,0.0,0.029783137,0.0,0.0015191806,0.0,0.0046742926,0.0,0.010474864,0.0,0.0019982038,0.0,9.737422e-05,0.0,0.07733915,CCCCn1cnc2c(SCc3ccncc3)nc(N)nc12,51474
